Temperature(K),AMRVAC
1.0538767650143500E+04,1.90E-24
1.1228802614280600E+01,6.33E-26
1.3953728167593500E+05,7.26E-22
1.5015856120530000E+06,1.25E-22
2.1670353899224900E+02,7.69E-27
2.4396045303923600E+06,8.06E-23
2.7909666944188200E+07,3.27E-22
2.9955474582122400E+04,2.55E-22
3.1678084793461200E+03,2.92E-25
4.1315316197454500E+02,5.18E-26
4.3186917983196600E+05,3.02E-22
4.7263768542060500E+04,6.36E-23
4.9386541950050800E+08,8.01E-21
5.2123600547899100E+06,8.46E-23
5.9805581356889800E+02,8.92E-26
6.6514431734042000E+05,1.63E-22
8.4867836893062800E+07,1.04E-21
8.6667125998191100E+01,5.20E-26